,News Station,Tweet,Date,Tweets Ago,Compound Score,Positive Score,Neutral Score,Negative Score
106,Fox News,".@davidwebbshow on open borders: ""These liberal policies will bring this country down."" #Hannity https://t.co/R3UpV2aXuK",Sat Dec 02 02:29:49 +0000 2017,7,0.0,0.0,1.0,0.0
107,Fox News,"Rep. King 'Sickened' by Steinle Verdict, Pledges to Fight 'Every Form' of Amnesty https://t.co/lsGx9o5l03",Sat Dec 02 02:11:22 +0000 2017,8,-0.25,0.099,0.741,0.16
108,Fox News,Legal experts split on what Flynn guilty plea means for Team #Trump https://t.co/0x9QYWsmxi,Sat Dec 02 01:55:55 +0000 2017,9,-0.3182,0.098,0.719,0.183
109,Fox News,"RT @FoxBusiness: Ford sues John Cena for selling $500,000 GT supercar, violating contract https://t.co/3kaTVUBzyv https://t.co/T15lpytAps",Sat Dec 02 01:54:55 +0000 2017,10,-0.1697,0.147,0.672,0.181
110,Fox News,"AG Sessions on sanctuary cities: ""We are doing everything possible to get these cities to reverse these policies.""… https://t.co/AsJ0ezGFgz",Sat Dec 02 01:43:31 +0000 2017,11,0.0,0.0,1.0,0.0
111,Fox News,"""Bob Mueller's task is to find the facts and take them wherever they may lead. Where they may lead may be no place.… https://t.co/8BnBcSaLKy",Sat Dec 02 01:23:03 +0000 2017,12,-0.296,0.0,0.913,0.087
112,Fox News,".@TuckerCarlson: ""If investigators can prove that the Trump campaign worked with Vladimir Putin in order to steal t… https://t.co/wns8GtfzjU",Sat Dec 02 01:18:13 +0000 2017,13,-0.4939,0.0,0.849,0.151
113,Fox News,TUNE IN NOW: Attorney General Jeff Sessions joins @TuckerCarlson on Fox News Channel. #Tucker https://t.co/9AFdZ6hpYh,Sat Dec 02 01:09:05 +0000 2017,14,0.0,0.0,1.0,0.0
114,Fox News,Hawaii tests nuclear warning sirens due to North Korea threat https://t.co/dDzBhViYIR https://t.co/kLwZ5ZCpuf,Sat Dec 02 00:50:53 +0000 2017,15,-0.7003,0.0,0.633,0.367
115,Fox News,"Marc Short: “The tax cuts generate growth, and we need that growth to actually pay for our national security needs.… https://t.co/i76sippQZL",Sat Dec 02 00:46:52 +0000 2017,16,0.6124,0.279,0.588,0.132
116,Fox News,"Marc Short: “The corporate rate reduction helps to increase growth, helps to increase employment, and helps to incr… https://t.co/SRdhP2Ayyl",Sat Dec 02 00:37:45 +0000 2017,17,0.9186,0.536,0.464,0.0
117,Fox News,"Marc Short: “Other countries have lowered their tax rates, which is why so many companies have relocated overseas,… https://t.co/TEzZyHgHhi",Sat Dec 02 00:37:05 +0000 2017,18,-0.128,0.0,0.923,0.077
118,Fox News,"Ex-NSA employee admits he kept top secret information at home
 https://t.co/N6urx5jlVN",Sat Dec 02 00:36:38 +0000 2017,19,0.4588,0.308,0.692,0.0
119,Fox News,Mexican man deported from US 20 times gets 35 years for assaults on women https://t.co/7odgKP4hUL,Sat Dec 02 00:26:39 +0000 2017,20,-0.5423,0.0,0.8,0.2
120,Fox News,Rosenberg on Kate Steinle verdict: I find it reprehensible that [Dems] are worried about DACA recipients. The worst… https://t.co/tMs6BpAisw,Sat Dec 02 03:14:35 +0000 2017,21,-0.1531,0.081,0.808,0.111
121,Fox News,Nevada Democratic rep faces calls to resign over sexual harassment claim https://t.co/8wLmu8r11g,Sat Dec 02 03:03:45 +0000 2017,22,-0.7096,0.0,0.629,0.371
122,Fox News,"Thomas Homan, Acting Director of Immigration And Customs Enforcement (ICE), gave a statement in the wake of the not… https://t.co/kkPgKCQWXd",Sat Dec 02 02:52:39 +0000 2017,23,0.0,0.0,1.0,0.0
123,Fox News,.@SheriffClarke: “Push is going to have to come to shove for the United States Department of Justice. There are fed… https://t.co/iRXGMRJw6A,Sat Dec 02 02:50:33 +0000 2017,24,0.7351,0.246,0.754,0.0
124,Fox News,".@SheriffClarke on immigration reform: “The only elected official in Washington, D.C. who understands that this is… https://t.co/3xYW8j6Ldt",Sat Dec 02 02:40:29 +0000 2017,25,0.0,0.0,1.0,0.0
125,Fox News,"Mary Ann Mendoza: “Americans are kidding themselves if they don’t think that we need a wall, and we need a secure b… https://t.co/4m5iMVTXhd",Sat Dec 02 02:34:44 +0000 2017,26,0.4215,0.167,0.833,0.0
126,Fox News,".@davidwebbshow on open borders: ""These liberal policies will bring this country down."" #Hannity https://t.co/R3UpV2aXuK",Sat Dec 02 02:29:49 +0000 2017,27,0.0,0.0,1.0,0.0
127,Fox News,"Rep. King 'Sickened' by Steinle Verdict, Pledges to Fight 'Every Form' of Amnesty https://t.co/lsGx9o5l03",Sat Dec 02 02:11:22 +0000 2017,28,-0.25,0.099,0.741,0.16
128,Fox News,Legal experts split on what Flynn guilty plea means for Team #Trump https://t.co/0x9QYWsmxi,Sat Dec 02 01:55:55 +0000 2017,29,-0.3182,0.098,0.719,0.183
129,Fox News,"RT @FoxBusiness: Ford sues John Cena for selling $500,000 GT supercar, violating contract https://t.co/3kaTVUBzyv https://t.co/T15lpytAps",Sat Dec 02 01:54:55 +0000 2017,30,-0.1697,0.147,0.672,0.181
130,Fox News,"AG Sessions on sanctuary cities: ""We are doing everything possible to get these cities to reverse these policies.""… https://t.co/AsJ0ezGFgz",Sat Dec 02 01:43:31 +0000 2017,31,0.0,0.0,1.0,0.0
131,Fox News,"""Bob Mueller's task is to find the facts and take them wherever they may lead. Where they may lead may be no place.… https://t.co/8BnBcSaLKy",Sat Dec 02 01:23:03 +0000 2017,32,-0.296,0.0,0.913,0.087
132,Fox News,".@TuckerCarlson: ""If investigators can prove that the Trump campaign worked with Vladimir Putin in order to steal t… https://t.co/wns8GtfzjU",Sat Dec 02 01:18:13 +0000 2017,33,-0.4939,0.0,0.849,0.151
133,Fox News,TUNE IN NOW: Attorney General Jeff Sessions joins @TuckerCarlson on Fox News Channel. #Tucker https://t.co/9AFdZ6hpYh,Sat Dec 02 01:09:05 +0000 2017,34,0.0,0.0,1.0,0.0
134,Fox News,Hawaii tests nuclear warning sirens due to North Korea threat https://t.co/dDzBhViYIR https://t.co/kLwZ5ZCpuf,Sat Dec 02 00:50:53 +0000 2017,35,-0.7003,0.0,0.633,0.367
135,Fox News,"Marc Short: “The tax cuts generate growth, and we need that growth to actually pay for our national security needs.… https://t.co/i76sippQZL",Sat Dec 02 00:46:52 +0000 2017,36,0.6124,0.279,0.588,0.132
136,Fox News,"Marc Short: “The corporate rate reduction helps to increase growth, helps to increase employment, and helps to incr… https://t.co/SRdhP2Ayyl",Sat Dec 02 00:37:45 +0000 2017,37,0.9186,0.536,0.464,0.0
