,News Station,Tweet,Date,Tweets Ago,Compound Score,Positive Score,Neutral Score,Negative Score
202,CNN,A McDonald's manager who gave police a loaded gun that led to the arrest of a suspect in a series of killings in Ta… https://t.co/NUWbKkOrCw,Sat Dec 02 02:40:06 +0000 2017,3,-0.8885,0.0,0.596,0.404
203,CNN,"62 years ago, Rosa Parks stood up for civil rights by sitting down https://t.co/yDNl5AdgTd https://t.co/hmBrwwa8PJ",Sat Dec 02 02:30:06 +0000 2017,4,0.0,0.0,1.0,0.0
204,CNN,The brutal race conversation nobody wants to have https://t.co/L5imhpeKVw https://t.co/f8WmR6OphU,Sat Dec 02 02:20:01 +0000 2017,5,-0.6249,0.0,0.687,0.313
205,CNN,"Signet Jewelers, which owns Kay Jewelers, Zales and Jared The Galleria Of Jewelry, is being investigated by federal… https://t.co/UenFiTbpmZ",Sat Dec 02 02:10:04 +0000 2017,6,0.0,0.0,1.0,0.0
206,CNN,Russia investigation zeroes in on Trump inner circle | Analysis by @StCollinson https://t.co/9yLjhHp5gI https://t.co/HpLIMhdCuV,Sat Dec 02 02:00:27 +0000 2017,7,0.0,0.0,1.0,0.0
207,CNN,Flynn charge suggests arcane law is 'leverage' for special counsel investigation https://t.co/hirXKHOyyv https://t.co/nNr3Fgj61b,Sat Dec 02 01:50:04 +0000 2017,8,0.4019,0.184,0.816,0.0
208,CNN,Twitter has a new reason for why it didn't delete Trump's anti-Muslim retweets https://t.co/nTaj9LS5Cf https://t.co/lUdCAjSUPy,Sat Dec 02 01:40:03 +0000 2017,9,0.0,0.0,1.0,0.0
209,CNN,"Jared Kushner is the very senior Trump team member who told Michael Flynn to contact the Russian ambassador, source… https://t.co/u8KUAZtwPF",Sat Dec 02 01:30:07 +0000 2017,10,0.0,0.0,1.0,0.0
210,CNN,"RT @OutFrontCNN: ""Please don't say it's not that big a deal. He is now an admitted felon."" Rep. Denny Heck reacts to Michael Flynn's guilty…",Sat Dec 02 01:22:50 +0000 2017,11,0.4019,0.144,0.856,0.0
211,CNN,Breaking down Michael Flynn's lies about his Russia calls https://t.co/7sqTwPyoFf https://t.co/yhA3E7DxMQ,Sat Dec 02 01:20:10 +0000 2017,12,-0.4215,0.0,0.781,0.219
212,CNN,"""I think that Russia investigation is wearing on all of us, the President most of all,"" said a source close to Pres… https://t.co/LaAI7GvkdA",Sat Dec 02 01:10:11 +0000 2017,13,0.0,0.0,1.0,0.0
213,CNN,"American Airlines says there will be enough pilots available to cover all of its December flights, despite a schedu… https://t.co/bhZF44Nb1D",Sat Dec 02 01:00:02 +0000 2017,14,0.0,0.0,1.0,0.0
214,CNN,"Senate Republicans may vote to strengthen Obamacare short-term to win over lawmakers, even as it weakens the health… https://t.co/ZW5IsoCA2e",Sat Dec 02 00:50:04 +0000 2017,15,0.5859,0.25,0.656,0.094
215,CNN,The Senate is about to vote on a tax bill it's still writing | Analysis by @zbyronwolf https://t.co/UxxdePpBNv https://t.co/Xwz1IhCrmj,Sat Dec 02 00:40:09 +0000 2017,16,0.0,0.0,1.0,0.0
216,CNN,"As TV networks grapple with the sexual misconduct allegations lodged against their big stars, a major lingering que… https://t.co/CzkglP7PrD",Sat Dec 02 00:30:15 +0000 2017,17,0.0,0.0,1.0,0.0
217,CNN,"President Trump is expected to announce that the US recognizes Jerusalem as Israel's capital, US officials with dir… https://t.co/BsHdUCql7d",Sat Dec 02 00:20:09 +0000 2017,18,0.0,0.0,1.0,0.0
218,CNN,"Michael Flynn: From ""lock her up"" to (maybe) locked up | Analysis by @GregJKrieg https://t.co/tRZkAaTyup https://t.co/dAt2r8pq8l",Sat Dec 02 00:10:04 +0000 2017,19,0.0,0.0,1.0,0.0
219,CNN,"RT @CNNSitRoom: .@evanperez explains why Michael Flynn's plea agreement was ""an incredible deal"" https://t.co/4Hx0XH4D5t  https://t.co/Adgw…",Sat Dec 02 00:03:53 +0000 2017,20,0.4939,0.186,0.814,0.0
220,CNN,Police officer adopts homeless mother's opioid-addicted newborn https://t.co/zaXJeLox7b https://t.co/5GQPG1gZ0i,Sat Dec 02 03:00:18 +0000 2017,21,0.1779,0.175,0.825,0.0
221,CNN,Former President Obama met with the Dalai Lama in India on Friday https://t.co/qnMKlOyoIk https://t.co/QRFzCQQY4n,Sat Dec 02 02:50:05 +0000 2017,22,0.0,0.0,1.0,0.0
222,CNN,A McDonald's manager who gave police a loaded gun that led to the arrest of a suspect in a series of killings in Ta… https://t.co/NUWbKkOrCw,Sat Dec 02 02:40:06 +0000 2017,23,-0.8885,0.0,0.596,0.404
223,CNN,"62 years ago, Rosa Parks stood up for civil rights by sitting down https://t.co/yDNl5AdgTd https://t.co/hmBrwwa8PJ",Sat Dec 02 02:30:06 +0000 2017,24,0.0,0.0,1.0,0.0
224,CNN,The brutal race conversation nobody wants to have https://t.co/L5imhpeKVw https://t.co/f8WmR6OphU,Sat Dec 02 02:20:01 +0000 2017,25,-0.6249,0.0,0.687,0.313
225,CNN,"Signet Jewelers, which owns Kay Jewelers, Zales and Jared The Galleria Of Jewelry, is being investigated by federal… https://t.co/UenFiTbpmZ",Sat Dec 02 02:10:04 +0000 2017,26,0.0,0.0,1.0,0.0
226,CNN,Russia investigation zeroes in on Trump inner circle | Analysis by @StCollinson https://t.co/9yLjhHp5gI https://t.co/HpLIMhdCuV,Sat Dec 02 02:00:27 +0000 2017,27,0.0,0.0,1.0,0.0
227,CNN,Flynn charge suggests arcane law is 'leverage' for special counsel investigation https://t.co/hirXKHOyyv https://t.co/nNr3Fgj61b,Sat Dec 02 01:50:04 +0000 2017,28,0.4019,0.184,0.816,0.0
228,CNN,Twitter has a new reason for why it didn't delete Trump's anti-Muslim retweets https://t.co/nTaj9LS5Cf https://t.co/lUdCAjSUPy,Sat Dec 02 01:40:03 +0000 2017,29,0.0,0.0,1.0,0.0
229,CNN,"Jared Kushner is the very senior Trump team member who told Michael Flynn to contact the Russian ambassador, source… https://t.co/u8KUAZtwPF",Sat Dec 02 01:30:07 +0000 2017,30,0.0,0.0,1.0,0.0
230,CNN,"RT @OutFrontCNN: ""Please don't say it's not that big a deal. He is now an admitted felon."" Rep. Denny Heck reacts to Michael Flynn's guilty…",Sat Dec 02 01:22:50 +0000 2017,31,0.4019,0.144,0.856,0.0
231,CNN,Breaking down Michael Flynn's lies about his Russia calls https://t.co/7sqTwPyoFf https://t.co/yhA3E7DxMQ,Sat Dec 02 01:20:10 +0000 2017,32,-0.4215,0.0,0.781,0.219
232,CNN,"""I think that Russia investigation is wearing on all of us, the President most of all,"" said a source close to Pres… https://t.co/LaAI7GvkdA",Sat Dec 02 01:10:11 +0000 2017,33,0.0,0.0,1.0,0.0
233,CNN,"American Airlines says there will be enough pilots available to cover all of its December flights, despite a schedu… https://t.co/bhZF44Nb1D",Sat Dec 02 01:00:02 +0000 2017,34,0.0,0.0,1.0,0.0
234,CNN,"Senate Republicans may vote to strengthen Obamacare short-term to win over lawmakers, even as it weakens the health… https://t.co/ZW5IsoCA2e",Sat Dec 02 00:50:04 +0000 2017,35,0.5859,0.25,0.656,0.094
235,CNN,The Senate is about to vote on a tax bill it's still writing | Analysis by @zbyronwolf https://t.co/UxxdePpBNv https://t.co/Xwz1IhCrmj,Sat Dec 02 00:40:09 +0000 2017,36,0.0,0.0,1.0,0.0
236,CNN,"As TV networks grapple with the sexual misconduct allegations lodged against their big stars, a major lingering que… https://t.co/CzkglP7PrD",Sat Dec 02 00:30:15 +0000 2017,37,0.0,0.0,1.0,0.0
237,CNN,"President Trump is expected to announce that the US recognizes Jerusalem as Israel's capital, US officials with dir… https://t.co/BsHdUCql7d",Sat Dec 02 00:20:09 +0000 2017,38,0.0,0.0,1.0,0.0
238,CNN,"Michael Flynn: From ""lock her up"" to (maybe) locked up | Analysis by @GregJKrieg https://t.co/tRZkAaTyup https://t.co/dAt2r8pq8l",Sat Dec 02 00:10:04 +0000 2017,39,0.0,0.0,1.0,0.0
239,CNN,"RT @CNNSitRoom: .@evanperez explains why Michael Flynn's plea agreement was ""an incredible deal"" https://t.co/4Hx0XH4D5t  https://t.co/Adgw…",Sat Dec 02 00:03:53 +0000 2017,40,0.4939,0.186,0.814,0.0
240,CNN,Join hosts @andersoncooper &amp; @KellyRipa in just a few weeks to honor all this year's Top 10 #CNNHeroes! Vote now at… https://t.co/RUGXYixw0G,Sat Dec 02 00:02:03 +0000 2017,41,0.7574,0.294,0.706,0.0
241,CNN,"GOP Rep. Blake Farenthold settled a sexual harassment complaint brought by an aide with taxpayer money in 2014, acc… https://t.co/PyjrxXwdr5",Fri Dec 01 23:50:05 +0000 2017,42,-0.6908,0.0,0.749,0.251
242,CNN,A former National Security Agency employee pleaded guilty Friday to taking sensitive national defense information f… https://t.co/K2S1GtJpv4,Fri Dec 01 23:40:05 +0000 2017,43,0.0258,0.198,0.66,0.142
243,CNN,German police defuse device near Christmas market outside Berlin https://t.co/r4yQdDrR5y https://t.co/ftEmTHek3O,Fri Dec 01 23:30:03 +0000 2017,44,0.0,0.0,1.0,0.0
244,CNN,A man's tattoo left doctors debating whether to save his life https://t.co/pOS6iivPYO https://t.co/0vlvW3AXEB,Fri Dec 01 23:20:06 +0000 2017,45,0.4939,0.225,0.775,0.0
245,CNN,Russian Parliament plans to ban American journalists https://t.co/9iHZZ8aAZG https://t.co/xvjzFbimgN,Fri Dec 01 23:10:07 +0000 2017,46,-0.5574,0.0,0.69,0.31
246,CNN,How President Trump has disparaged the Russia investigation https://t.co/LYHeVi4GIw https://t.co/UuGhS4kub9,Fri Dec 01 23:00:15 +0000 2017,47,-0.34,0.0,0.789,0.211
247,CNN,The court filings from former Trump national security adviser Michael Flynn's plea hearing show special counsel Rob… https://t.co/PdUDOGToCl,Fri Dec 01 22:50:04 +0000 2017,48,0.6249,0.242,0.758,0.0
248,CNN,How Kate Steinle's case became one of the biggest trials of the year https://t.co/0Ej3KkTLs0 https://t.co/VzGG65mnXj,Fri Dec 01 22:40:06 +0000 2017,49,0.0,0.0,1.0,0.0
249,CNN,"A man tried to mimic a TV stunt -- and set off a massive fire that damaged 32 buildings, displaced at least 18 peop… https://t.co/8YGM6basut",Fri Dec 01 22:30:07 +0000 2017,50,-0.6486,0.0,0.791,0.209
250,CNN,Fire risk prompts new rules for 'Smart Bags' on American Airlines flights https://t.co/IoM7dZuxgl https://t.co/yPbEq7BQPt,Fri Dec 01 22:20:08 +0000 2017,51,-0.2023,0.148,0.604,0.247
251,CNN,Geraldo Rivera apologizes to Bette Midler after she accused him earlier this week of drugging and groping her in th… https://t.co/2ObKhYtVVK,Fri Dec 01 22:10:13 +0000 2017,52,0.0772,0.105,0.802,0.093
252,CNN,Former President Obama met with the Dalai Lama in India on Friday https://t.co/nTZXw27vOe https://t.co/NijIgEjvgr,Fri Dec 01 22:00:07 +0000 2017,53,0.0,0.0,1.0,0.0
253,CNN,Exclusive: Clinton and Sanders campaign managers call tax reform a 'golden opportunity' for Dems to win 'every demo… https://t.co/U7EfAj4byO,Fri Dec 01 21:45:13 +0000 2017,54,0.7964,0.351,0.649,0.0
254,CNN,"Jared Kushner is the very senior Trump team member who told Michael Flynn to contact the Russian ambassador, source… https://t.co/uwvcD83fPu",Fri Dec 01 21:32:06 +0000 2017,55,0.0,0.0,1.0,0.0
255,CNN,"RT @TheLeadCNN: Why did Flynn lie about his conversations with the Russian ambassador?

Why has the White House told you so many lies about…",Fri Dec 01 21:25:17 +0000 2017,56,-0.4728,0.0,0.882,0.118
256,CNN,"Matt Lauer ""will not be paid past his last day of work,"" a senior NBC source says https://t.co/cl0vWESsF7 https://t.co/Oi5rUWhK6J",Fri Dec 01 21:20:07 +0000 2017,57,0.0,0.0,1.0,0.0
257,CNN,A McDonald's manager who gave police a loaded gun that led to the arrest of a suspect in a series of killings in Ta… https://t.co/N9HT3M1d4M,Fri Dec 01 21:10:07 +0000 2017,58,-0.8885,0.0,0.596,0.404
258,CNN,"You won't find studies in humans that prove chicken soup can fight a cold, but there's enough evidence to make it w… https://t.co/A7MFe3siU1",Fri Dec 01 20:59:45 +0000 2017,59,-0.2023,0.0,0.921,0.079
259,CNN,Police officer adopts homeless mother's opioid-addicted newborn https://t.co/mfIiuO1TFZ https://t.co/k9kfMHyN4H,Fri Dec 01 20:43:58 +0000 2017,60,0.1779,0.175,0.825,0.0
260,CNN,The world's biggest lithium ion battery has started delivering power in Australia. It uses wind and can power as ma… https://t.co/vYRkJn1wJo,Fri Dec 01 20:30:08 +0000 2017,61,0.0,0.0,1.0,0.0
261,CNN,"""The presence of God today is also called Rohingya"": Pope Francis referred to the Rohingya people, Myanmar's persec… https://t.co/MepSk5DUlh",Fri Dec 01 20:20:11 +0000 2017,62,0.2732,0.104,0.896,0.0
262,CNN,"Thanks to the giant advertisement that is ""Star Wars,"" Ireland's ruggedly beautiful Skellig Islands are feeling the… https://t.co/NSDfGOJefQ",Fri Dec 01 20:10:07 +0000 2017,63,0.8074,0.356,0.644,0.0
263,CNN,An independent report faults police over planning and failure to protect the public at Charlottesville rally that l… https://t.co/ZA2wkgNtzp,Fri Dec 01 20:00:16 +0000 2017,64,-0.5859,0.104,0.64,0.256
264,CNN,Here's what we've learned in court and from filings about the Michael Flynn case https://t.co/GkGiDluocv https://t.co/oVtKmJXJQ4,Fri Dec 01 19:50:05 +0000 2017,65,0.0,0.0,1.0,0.0
265,CNN,Hillary Clinton and Bernie Sanders campaign managers call tax reform a 'golden opportunity' for Democrats to win 'e… https://t.co/hwaRou1MSi,Fri Dec 01 19:41:07 +0000 2017,66,0.765,0.292,0.708,0.0
266,CNN,The market had a slight panic attack on the news that Michael Flynn may testify against President Trump. But it did… https://t.co/ETZfY2HQSS,Fri Dec 01 19:33:43 +0000 2017,67,-0.7506,0.0,0.748,0.252
267,CNN,"Shortly after former Trump national security adviser Michael Flynn pleaded guilty to lying to the FBI, former FBI D… https://t.co/6sb09NCGYD",Fri Dec 01 19:21:06 +0000 2017,68,-0.5859,0.094,0.664,0.242
268,CNN,"Sen. Mark Warner, the top Democrat on the Senate Intelligence Committee, says Michael Flynn was obviously in a ""gre… https://t.co/JmoL0m0FWB",Fri Dec 01 19:11:32 +0000 2017,69,0.5994,0.224,0.776,0.0
269,CNN,German police defuse device near Christmas market outside Berlin https://t.co/1VmCuGDJBu https://t.co/HxBFrZlIld,Fri Dec 01 19:00:17 +0000 2017,70,0.0,0.0,1.0,0.0
270,CNN,"RT @CNNPolitics: Sen. Mark Warner, the top Democrat on the Senate intel committee, says the Trump team ""can't distance themselves"" from Mic…",Fri Dec 01 18:55:11 +0000 2017,71,0.2023,0.079,0.921,0.0
271,CNN,"62 years ago, Rosa Parks stood up for civil rights by sitting down https://t.co/biQ5JYg89Q https://t.co/XCcL4AparB",Fri Dec 01 18:45:12 +0000 2017,72,0.0,0.0,1.0,0.0
272,CNN,"The Justice Department is considering bringing federal charges against Jose Ines Garcia Zarate, the man found not g… https://t.co/JgGRCmJMVy",Fri Dec 01 18:34:06 +0000 2017,73,0.3182,0.151,0.756,0.093
273,CNN,"RT @CNNPolitics: CNN's @jimsciutto: In your view, has the President lied about his team's communications with Russia?

Schiff: ""Abundantly…",Fri Dec 01 18:29:23 +0000 2017,74,-0.3818,0.0,0.874,0.126
274,CNN,"Rep. Adam Schiff calls Flynn's guilty plea ""breathtaking,"" says this is ""the chief adviser to the President in term… https://t.co/QlNvfdMLP2",Fri Dec 01 18:20:23 +0000 2017,75,-0.4215,0.0,0.872,0.128
275,CNN,Lawmakers say panel investigating Michigan Democratic Rep. John Conyers not known for speed https://t.co/4cqQT7IKyv https://t.co/PUX5k3N3di,Fri Dec 01 18:16:05 +0000 2017,76,0.0,0.0,1.0,0.0
276,CNN,"White House chief of staff John Kelly soured on Rex Tillerson after the Secretary of State's ""moron"" comment… https://t.co/rLl6sn2Qia",Fri Dec 01 18:04:04 +0000 2017,77,0.0,0.0,1.0,0.0
277,CNN,"If this proposed bill becomes law, executives could face jail time for not reporting data breaches in a timely mann… https://t.co/B5ujPJrS2i",Fri Dec 01 17:52:04 +0000 2017,78,0.0,0.0,1.0,0.0
278,CNN,"With Sen. Jeff Flake's newly announced support, Senate Republicans have the votes to pass their tax plan… https://t.co/3sVrOQIfJi",Fri Dec 01 17:33:09 +0000 2017,79,0.4019,0.137,0.863,0.0
279,CNN,"Nobel laureate Joseph Stiglitz says bitcoin ""ought to be outlawed"" https://t.co/9sO0qa6ys3",Fri Dec 01 17:12:02 +0000 2017,80,0.0,0.0,1.0,0.0
280,CNN,Former Trump national security adviser Michael Flynn disclosed that he is cooperating with Special Counsel Mueller'… https://t.co/Pxidtiq701,Fri Dec 01 16:56:01 +0000 2017,81,0.6249,0.254,0.746,0.0
281,CNN,RT @CNNPolitics: WATCH: Michael Flynn departs the courthouse after pleading guilty to lying to the FBI about conversations with Russia’s am…,Fri Dec 01 16:50:07 +0000 2017,82,-0.7351,0.0,0.754,0.246
282,CNN,"White House Lawyer Ty Cobb: ""Nothing about the guilty plea or the charge implicates anyone other than Mr. Flynn."" https://t.co/bl70IulW98",Fri Dec 01 16:47:03 +0000 2017,83,-0.0516,0.111,0.769,0.12
283,CNN,BREAKING: Michael Flynn pleads guilty to making false statements to the FBI https://t.co/ur4KDLWjIs https://t.co/soQgF5Akto,Fri Dec 01 16:28:57 +0000 2017,84,-0.4215,0.0,0.823,0.177
284,CNN,RT @CNNPolitics: All the times President Trump has insulted North Korea https://t.co/K44j17nmFx https://t.co/WIzDglf4kv,Fri Dec 01 16:21:45 +0000 2017,85,-0.5106,0.0,0.784,0.216
285,CNN,"Chicago police tout 14% homicide drop, and concede there's more to do https://t.co/8uEIT4o7j4",Fri Dec 01 16:15:05 +0000 2017,86,-0.3818,0.0,0.753,0.247
286,CNN,RT @CNNPolitics: The Department of Justice may bring charges against the man found not guilty in Kate Steinle's murder https://t.co/9Mzlzst…,Fri Dec 01 16:08:29 +0000 2017,87,-0.2658,0.201,0.561,0.238
287,CNN,The updated docket describes this court proceeding as a “plea agreement” hearing. Flynn is expected to plead guilty… https://t.co/k0C0BuBHSv,Fri Dec 01 15:26:11 +0000 2017,88,0.0,0.0,1.0,0.0
288,CNN,JUST IN: Michael Flynn arrives at the US District Courthouse in Washington. His hearing is scheduled for 10:30 a.m.… https://t.co/S7PusClOvF,Fri Dec 01 15:25:45 +0000 2017,89,0.0,0.0,1.0,0.0
289,CNN,Here's a look back at Michael Flynn's short stint as Trump's security adviser https://t.co/iBogd873XV https://t.co/GYfHlvtcZ1,Fri Dec 01 15:08:56 +0000 2017,90,0.34,0.156,0.844,0.0
290,CNN,Flynn was a key campaign surrogate and adviser during Trump's presidential campaign. He was tapped as Trump's natio… https://t.co/5WxM5D6rSN,Fri Dec 01 15:05:05 +0000 2017,91,0.0,0.0,1.0,0.0
291,CNN,Here's what you need to know about Michael Flynn: https://t.co/wwHiOiSaPx https://t.co/NQDO8oQmUJ,Fri Dec 01 15:04:06 +0000 2017,92,0.0,0.0,1.0,0.0
292,CNN,"JUST IN: Michael Flynn is expected to plead guilty to the charge of ""willfully and knowingly"" making ""false, fictit… https://t.co/F9m0YxWXsK",Fri Dec 01 14:46:26 +0000 2017,93,-0.4215,0.0,0.872,0.128
293,CNN,"Michael Flynn is due to appear in court later Friday morning, a court spokesperson said. The White House declined t… https://t.co/Pf0I0eI5N6",Fri Dec 01 14:43:04 +0000 2017,94,0.0,0.0,1.0,0.0
294,CNN,Flynn is the first Trump admin official and the fourth connected to the campaign to be charged as part of Mueller's… https://t.co/acVUJbK1oC,Fri Dec 01 14:39:15 +0000 2017,95,-0.2023,0.0,0.921,0.079
295,CNN,"Special counsel Robert Mueller has charged former Trump national security adviser Michael Flynn with ""willfully and… https://t.co/4ZNqaBeZWt",Fri Dec 01 14:34:13 +0000 2017,96,0.5106,0.244,0.67,0.086
296,CNN,The world's biggest lithium ion battery has started delivering power in Australia. It uses wind and can power as ma… https://t.co/ol4As0kyiB,Fri Dec 01 14:20:53 +0000 2017,97,0.0,0.0,1.0,0.0
297,CNN,BREAKING: Michael Flynn charged with making false statement to FBI https://t.co/nwAMpHZanh https://t.co/qo1Zv2TrrU,Fri Dec 01 14:19:31 +0000 2017,98,-0.2023,0.0,0.859,0.141
298,CNN,"""The presence of God today is also called Rohingya"": Pope Francis referred to the Rohingya people, Myanmar's persec… https://t.co/SrwjKL2dKQ",Fri Dec 01 13:53:42 +0000 2017,99,0.2732,0.104,0.896,0.0
299,CNN,Police officer adopts homeless mother's opioid-addicted newborn https://t.co/JmARTqRf8D https://t.co/xPO5Q9qudU,Fri Dec 01 13:38:30 +0000 2017,100,0.1779,0.175,0.825,0.0
300,BBC News (UK),Murderer William Kerr arrested after absconding from prison https://t.co/Jd0x6rbl5c,Sat Dec 02 02:36:05 +0000 2017,1,-0.9001,0.0,0.353,0.647
301,BBC News (UK),Five Northampton cat deaths linked to 'Croydon cat killer' probe https://t.co/0HG27KdQMD,Sat Dec 02 02:22:06 +0000 2017,2,-0.6486,0.0,0.699,0.301
302,BBC News (UK),Murderer William Kerr absconds from HMP Hollesley Bay https://t.co/4fREPvM2Kr,Sat Dec 02 01:20:51 +0000 2017,3,-0.6808,0.0,0.635,0.365
303,BBC News (UK),My brain 'exploded' after kick in the head https://t.co/i4VSEqGRxL,Sat Dec 02 01:05:54 +0000 2017,4,0.0,0.0,1.0,0.0
304,BBC News (UK),Pupils' diaries convict Hampshire sex assault teacher https://t.co/VNcF6cDJcY,Sat Dec 02 01:05:54 +0000 2017,5,-0.5859,0.0,0.648,0.352
305,BBC News (UK),Minister calls for minimum banking services guarantee https://t.co/FOd505qJDU,Sat Dec 02 01:02:22 +0000 2017,6,0.25,0.222,0.778,0.0
306,BBC News (UK),How much of your salary is spent on rent? https://t.co/Be73VnTgOH,Fri Dec 01 23:54:29 +0000 2017,7,0.0,0.0,1.0,0.0
307,BBC News (UK),Woman arrested after toddler found alone in Wigan https://t.co/FYaIq5uTX8,Fri Dec 01 23:50:33 +0000 2017,8,-0.6249,0.0,0.579,0.421
308,BBC News (UK),"Saturday's Times: ""Cabinet split over Green after police porn claims"" #tomorrowspaperstoday #BBCpapers (via… https://t.co/AlosgmD4Xy",Fri Dec 01 22:34:03 +0000 2017,9,0.0,0.0,1.0,0.0
309,BBC News (UK),"Saturday's Daily Star: ""Murder on the dancefloor"" #tomorrowspaperstoday #BBCpapers (via @hendopolis) https://t.co/KCpP3eOKrT",Fri Dec 01 22:14:59 +0000 2017,10,-0.6908,0.0,0.701,0.299
310,BBC News (UK),"Saturday's Daily Telegraph: ""Trump aide turns informer in Russia case"" #tomorrowspaperstoday #BBCpapers (via… https://t.co/tO6AJTr0p0",Fri Dec 01 22:14:54 +0000 2017,11,0.0,0.0,1.0,0.0
311,BBC News (UK),"Saturday's Sun: ""Mega star!"" #tomorrowspaperstoday #BBCpapers (via @hendopolis) https://t.co/Pso8PxvKmW",Fri Dec 01 22:14:54 +0000 2017,12,0.0,0.0,1.0,0.0
312,BBC News (UK),"Saturday's Daily Mirror: ""The minister for porn"" #tomorrowspaperstoday #BBCpapers (via @hendopolis) https://t.co/tspV9KaKMQ",Fri Dec 01 22:14:49 +0000 2017,13,0.0,0.0,1.0,0.0
313,BBC News (UK),Kaspersky Labs: Warning over Russian anti-virus software https://t.co/G1t6ShDKYD,Fri Dec 01 22:10:39 +0000 2017,14,-0.34,0.0,0.745,0.255
314,BBC News (UK),RT @BBCSport: ?? “The World Cup draw: a very English reaction” https://t.co/iYCNNnUo2K,Fri Dec 01 22:01:08 +0000 2017,15,0.0,0.0,1.0,0.0
315,BBC News (UK),"RT @BBCSport: FT AFC Fylde 1-1 Wigan

Both teams are still in the hat and in with a chance of landing a draw against the big boys in the th…",Fri Dec 01 22:00:47 +0000 2017,16,0.25,0.069,0.931,0.0
316,BBC News (UK),"RT @BBCSportWales: FT: #CardiffCity 3-1 Norwich 

The Bluebirds close the gap to leaders Wolverhampton Wanderers to just a point thanks to…",Fri Dec 01 22:00:43 +0000 2017,17,0.4404,0.132,0.868,0.0
317,BBC News (UK),"RT @BBCSport: FT Leeds 1-1 Aston Villa 

Henri Lansbury earns #AVFC a point against #LUFC in an even game at Elland Road https://t.co/xYzkq…",Fri Dec 01 22:00:37 +0000 2017,18,0.0,0.0,1.0,0.0
318,BBC News (UK),"Saturday's Daily Mail: ""Tories at war with the police"" #tomorrowspaperstoday #BBCpapers (via @hendopolis) https://t.co/CHBtQEuIsx",Fri Dec 01 21:52:28 +0000 2017,19,-0.5994,0.0,0.769,0.231
319,BBC News (UK),"Saturday's i weekend: ""Davis threat to quit if deputy PM is fired over porn"" #tomorrowspaperstoday #BBCpapers (via… https://t.co/Pl2D7PPP5s",Fri Dec 01 21:52:24 +0000 2017,20,-0.7906,0.0,0.682,0.318
320,BBC News (UK),Murderer William Kerr arrested after absconding from prison https://t.co/Jd0x6rbl5c,Sat Dec 02 02:36:05 +0000 2017,21,-0.9001,0.0,0.353,0.647
321,BBC News (UK),Five Northampton cat deaths linked to 'Croydon cat killer' probe https://t.co/0HG27KdQMD,Sat Dec 02 02:22:06 +0000 2017,22,-0.6486,0.0,0.699,0.301
322,BBC News (UK),Murderer William Kerr absconds from HMP Hollesley Bay https://t.co/4fREPvM2Kr,Sat Dec 02 01:20:51 +0000 2017,23,-0.6808,0.0,0.635,0.365
323,BBC News (UK),My brain 'exploded' after kick in the head https://t.co/i4VSEqGRxL,Sat Dec 02 01:05:54 +0000 2017,24,0.0,0.0,1.0,0.0
324,BBC News (UK),Pupils' diaries convict Hampshire sex assault teacher https://t.co/VNcF6cDJcY,Sat Dec 02 01:05:54 +0000 2017,25,-0.5859,0.0,0.648,0.352
325,BBC News (UK),Minister calls for minimum banking services guarantee https://t.co/FOd505qJDU,Sat Dec 02 01:02:22 +0000 2017,26,0.25,0.222,0.778,0.0
326,BBC News (UK),How much of your salary is spent on rent? https://t.co/Be73VnTgOH,Fri Dec 01 23:54:29 +0000 2017,27,0.0,0.0,1.0,0.0
327,BBC News (UK),Woman arrested after toddler found alone in Wigan https://t.co/FYaIq5uTX8,Fri Dec 01 23:50:33 +0000 2017,28,-0.6249,0.0,0.579,0.421
328,BBC News (UK),"Saturday's Times: ""Cabinet split over Green after police porn claims"" #tomorrowspaperstoday #BBCpapers (via… https://t.co/AlosgmD4Xy",Fri Dec 01 22:34:03 +0000 2017,29,0.0,0.0,1.0,0.0
329,BBC News (UK),"Saturday's Daily Star: ""Murder on the dancefloor"" #tomorrowspaperstoday #BBCpapers (via @hendopolis) https://t.co/KCpP3eOKrT",Fri Dec 01 22:14:59 +0000 2017,30,-0.6908,0.0,0.701,0.299
330,BBC News (UK),"Saturday's Daily Telegraph: ""Trump aide turns informer in Russia case"" #tomorrowspaperstoday #BBCpapers (via… https://t.co/tO6AJTr0p0",Fri Dec 01 22:14:54 +0000 2017,31,0.0,0.0,1.0,0.0
331,BBC News (UK),"Saturday's Sun: ""Mega star!"" #tomorrowspaperstoday #BBCpapers (via @hendopolis) https://t.co/Pso8PxvKmW",Fri Dec 01 22:14:54 +0000 2017,32,0.0,0.0,1.0,0.0
332,BBC News (UK),"Saturday's Daily Mirror: ""The minister for porn"" #tomorrowspaperstoday #BBCpapers (via @hendopolis) https://t.co/tspV9KaKMQ",Fri Dec 01 22:14:49 +0000 2017,33,0.0,0.0,1.0,0.0
333,BBC News (UK),Kaspersky Labs: Warning over Russian anti-virus software https://t.co/G1t6ShDKYD,Fri Dec 01 22:10:39 +0000 2017,34,-0.34,0.0,0.745,0.255
334,BBC News (UK),RT @BBCSport: ?? “The World Cup draw: a very English reaction” https://t.co/iYCNNnUo2K,Fri Dec 01 22:01:08 +0000 2017,35,0.0,0.0,1.0,0.0
